crop,rainfall_mm,temperature_c,humidity_percent,soil_ph,fertilizer_kg_per_ha,yield_t_per_ha
soybean,1050.1,18.81,47.9,6.67,122.6,1.488
rice,909.7,22.36,65.9,5.37,88.2,3.052
maize,652.4,32.73,40.6,6.79,209.2,3.033
wheat,477.1,25.09,66.2,6.7,268.8,3.184
sugarcane,801.8,17.58,58.8,6.02,239.4,43.985
wheat,356.6,32.53,87.5,6.96,190.1,2.025
wheat,719.1,29.39,86.2,5.17,236.9,2.319
maize,726.4,28.23,76.8,7.29,12.7,1.534
wheat,865.1,29.29,60.1,5.8,108.3,2.356
rice,1289.9,39.37,94.8,5.71,77.1,2.071
rice,698.1,38.11,41.7,6.41,248.0,2.251
soybean,472.8,20.88,43.9,6.85,119.3,1.375
sugarcane,593.6,34.74,63.7,6.63,217.6,25.546
wheat,157.7,27.3,98.8,5.91,192.9,2.176
wheat,426.3,27.99,62.0,6.1,81.0,2.013
maize,497.7,14.85,62.3,5.59,103.0,2.89
rice,469.0,23.98,43.4,6.32,253.5,3.39
sugarcane,638.1,20.12,79.2,7.36,88.0,40.768
soybean,394.4,29.97,79.3,6.5,160.0,1.426
rice,880.3,31.43,76.8,7.19,87.4,2.051
soybean,600.1,12.55,55.6,7.66,124.9,1.309
maize,597.7,24.87,54.4,6.03,146.3,3.991
maize,518.0,31.73,45.6,6.35,87.4,3.213
wheat,638.8,23.88,66.3,8.24,73.2,2.248
sugarcane,806.3,29.37,48.8,7.66,172.9,41.724
soybean,383.2,27.11,47.3,5.16,82.4,1.045
rice,435.5,27.05,58.6,6.81,85.1,4.398
maize,524.1,23.37,57.7,6.5,74.9,3.322
wheat,263.5,17.7,56.9,7.16,143.8,2.076
wheat,395.2,18.27,72.0,5.9,225.5,2.916
soybean,480.9,29.26,66.2,5.83,270.5,2.127
maize,818.6,25.12,60.7,5.96,91.9,4.013
sugarcane,665.6,24.17,67.7,6.04,322.0,63.599
maize,648.4,22.46,50.1,7.15,69.6,2.934
soybean,812.7,23.17,66.6,5.56,236.7,2.498
soybean,565.7,31.28,67.3,6.0,92.3,1.64
maize,697.6,22.99,42.5,5.07,80.3,3.059
soybean,574.2,16.95,79.9,7.31,90.4,0.952
maize,666.3,29.46,51.8,7.52,145.8,2.799
rice,454.3,23.77,66.4,6.24,196.4,4.266
maize,0.0,25.19,82.5,6.26,203.6,2.59
maize,566.4,34.65,78.9,6.86,74.5,2.92
soybean,955.7,24.88,65.5,7.68,70.8,1.428
soybean,831.6,26.74,59.6,6.83,76.7,1.269
wheat,841.3,17.93,79.2,5.94,141.1,2.472
wheat,909.0,23.68,75.1,5.2,133.2,2.563
rice,622.2,28.66,55.7,5.61,74.0,3.326
wheat,649.3,15.67,53.1,6.56,171.6,1.635
maize,445.6,26.21,33.9,5.98,331.0,4.087
soybean,521.0,25.6,67.3,6.66,109.6,2.082
wheat,753.9,25.25,63.8,6.06,115.3,3.045
wheat,901.0,31.22,82.0,5.65,194.8,2.573
rice,565.1,27.01,70.4,5.56,105.3,2.962
rice,487.5,33.87,85.0,7.75,203.5,2.71
maize,600.1,19.04,54.5,7.21,92.5,4.128
soybean,750.3,25.82,82.1,7.88,296.6,1.976
rice,239.0,25.51,57.1,6.93,177.6,2.704
wheat,26.0,18.58,76.7,6.16,100.4,2.143
soybean,462.4,30.74,43.1,7.56,102.9,1.171
soybean,294.8,38.95,68.5,6.47,108.9,1.328
wheat,473.0,24.9,35.2,6.68,259.8,2.578
rice,563.1,28.03,61.0,6.47,48.5,1.561
wheat,486.7,25.51,71.6,4.14,96.6,2.344
soybean,963.1,20.72,57.2,7.78,105.1,0.716
sugarcane,681.7,14.08,49.2,6.89,148.7,15.402
sugarcane,675.1,20.77,77.7,6.76,128.3,51.655
maize,755.6,16.65,63.4,6.45,30.7,3.132
wheat,315.3,35.22,57.7,6.63,118.0,1.348
wheat,859.8,24.31,65.6,6.02,142.0,2.982
maize,581.1,22.92,100.0,6.99,99.8,1.711
maize,767.6,30.33,82.3,5.45,204.9,4.338
maize,332.0,18.27,82.4,6.65,223.6,3.451
soybean,211.6,20.4,71.5,6.95,143.7,1.413
wheat,804.5,25.41,67.5,6.34,168.4,3.036
soybean,694.1,31.17,29.1,6.8,0.0,1.263
maize,374.5,28.01,54.8,5.71,116.3,3.583
wheat,382.6,26.49,57.8,5.73,230.4,1.723
soybean,881.4,25.47,36.9,6.69,116.1,2.562
soybean,302.6,27.4,47.6,7.04,91.0,1.869
maize,1010.7,26.21,35.3,5.0,332.2,3.436
wheat,374.8,18.82,64.4,6.92,295.5,2.034
maize,759.6,25.28,77.3,6.07,187.4,4.682
wheat,517.8,18.56,81.6,6.35,241.1,2.635
sugarcane,750.8,25.49,71.2,5.43,0.0,10.567
rice,464.0,22.12,50.5,5.82,87.0,2.523
rice,559.3,40.24,36.0,7.27,112.4,0.965
rice,610.2,24.76,38.6,6.53,131.1,3.126
maize,349.5,16.57,46.0,6.19,110.8,2.504
sugarcane,785.2,24.19,51.7,6.41,0.0,30.717
wheat,471.7,28.12,62.6,6.89,180.9,2.288
soybean,542.9,35.04,49.8,6.85,193.5,1.02
wheat,351.4,21.46,70.1,6.44,278.2,2.762
soybean,0.0,15.51,61.5,7.37,86.9,1.25
wheat,552.2,29.9,65.2,7.28,80.4,2.296
sugarcane,1203.2,16.72,82.1,6.83,0.0,28.408
soybean,796.2,22.38,47.3,6.54,126.5,1.664
maize,595.2,23.45,71.3,7.03,222.1,4.715
wheat,534.3,24.58,64.8,6.75,101.1,2.721
wheat,605.6,29.13,60.0,7.35,321.5,1.676
soybean,736.8,20.9,78.3,7.22,129.5,1.849
maize,304.8,23.36,78.2,5.69,161.8,3.976
maize,878.6,24.91,50.8,5.63,41.0,3.377
sugarcane,778.8,25.9,62.3,5.94,173.0,57.888
maize,779.5,25.59,69.2,7.28,0.0,0.575
maize,709.6,27.62,60.9,5.24,205.5,4.101
maize,604.9,30.06,73.8,6.82,208.0,5.377
rice,768.2,27.36,69.2,6.79,258.7,4.112
sugarcane,748.0,27.72,92.5,7.43,68.4,38.099
wheat,511.5,15.51,42.0,6.64,162.8,1.739
soybean,456.6,25.3,63.2,5.43,195.1,2.042
wheat,625.5,27.88,51.4,5.73,185.4,2.874
sugarcane,987.3,29.37,74.1,5.55,80.8,40.968
soybean,290.2,20.85,40.7,6.07,0.0,1.24
sugarcane,233.1,21.05,70.2,6.35,177.8,57.137
maize,641.2,21.56,55.5,5.57,137.8,4.745
soybean,612.7,28.22,54.0,7.68,104.7,2.392
maize,643.3,31.2,43.3,5.44,211.1,3.007
wheat,661.0,22.56,58.0,7.58,146.4,3.27
wheat,544.2,30.45,81.3,7.45,44.5,1.406
soybean,972.5,25.74,64.6,7.22,0.0,1.217
soybean,199.8,24.25,74.4,5.94,59.7,1.581
sugarcane,392.9,23.73,90.0,6.77,341.4,47.024
sugarcane,574.2,29.48,69.0,5.48,207.8,49.21
maize,189.2,26.95,56.6,7.23,165.1,4.108
soybean,556.0,38.65,72.0,6.44,135.5,0.903
wheat,1015.4,19.89,56.8,6.17,130.2,3.123
sugarcane,605.2,28.11,57.4,5.52,243.4,40.702
sugarcane,657.7,21.82,42.2,4.52,110.8,56.463
wheat,285.0,19.78,78.9,5.67,196.2,2.461
sugarcane,445.9,24.93,59.2,7.39,122.1,47.069
maize,506.2,25.82,67.7,6.18,305.2,4.725
soybean,520.6,42.51,49.5,6.36,209.4,0.938
wheat,920.4,23.9,71.5,7.02,249.6,3.136
soybean,739.4,18.22,53.6,7.94,103.2,1.36
sugarcane,322.1,26.64,62.9,7.56,234.7,60.032
sugarcane,661.6,12.55,78.2,5.72,125.0,49.295
wheat,724.6,24.45,76.9,4.95,158.8,2.556
maize,885.0,25.1,64.7,8.39,280.8,3.805
rice,995.1,29.77,38.5,8.32,66.6,2.095
wheat,346.2,30.84,100.0,6.65,166.3,1.835
rice,397.3,21.98,91.2,5.48,185.0,2.323
rice,285.6,24.1,75.8,7.27,191.6,2.384
maize,541.5,20.4,53.7,6.41,113.9,5.23
rice,716.6,18.23,63.3,6.41,316.9,3.318
rice,846.8,26.86,56.8,7.22,46.4,2.249
maize,581.0,17.36,84.0,6.77,266.7,3.975
rice,520.0,22.51,68.9,5.55,247.2,2.888
rice,637.9,19.03,53.2,6.24,302.1,2.501
rice,391.2,28.3,57.9,7.03,22.9,1.782
wheat,1122.4,35.81,81.8,6.91,80.5,2.377
wheat,198.1,17.19,89.0,6.71,269.4,1.628
wheat,646.2,13.88,87.9,7.25,0.0,0.401
maize,1105.9,24.25,76.4,6.21,21.5,3.953
sugarcane,601.7,25.09,61.2,6.64,110.9,49.001
rice,552.5,26.31,16.4,3.8,165.4,1.087
rice,510.6,22.32,69.5,6.14,277.4,3.56
maize,554.9,23.8,65.0,7.11,135.2,4.788
rice,943.2,27.21,67.1,6.19,101.3,3.723
wheat,47.0,31.24,65.8,6.13,174.9,2.414
sugarcane,983.4,13.27,45.1,5.67,187.6,25.021
soybean,244.0,22.79,73.4,7.3,185.3,1.619
rice,533.3,26.28,74.5,6.94,135.8,2.98
wheat,492.7,19.49,75.2,7.16,0.0,0.806
soybean,747.1,35.39,79.2,5.12,76.6,1.473
sugarcane,200.5,21.19,74.1,6.37,263.6,46.35
soybean,715.5,24.75,58.8,6.28,165.0,2.226
wheat,1106.1,28.34,63.9,6.28,124.2,2.879
soybean,259.2,21.45,66.4,6.01,239.5,1.439
maize,647.4,13.92,66.6,6.22,59.6,1.904
soybean,434.5,22.43,80.0,7.18,132.0,1.691
rice,706.5,31.18,74.7,4.97,161.0,3.403
rice,604.8,22.98,96.2,7.92,114.7,3.788
maize,439.6,19.92,98.1,6.89,158.1,4.001
wheat,722.0,30.55,66.2,6.47,135.0,2.315
rice,1051.1,23.02,10.0,7.23,38.1,2.547
sugarcane,552.3,21.94,83.6,5.34,164.5,46.587
rice,779.9,25.9,56.9,5.97,43.7,2.131
rice,276.7,29.62,53.0,6.4,163.2,2.762
wheat,360.9,39.29,59.0,7.59,259.9,0.934
soybean,718.1,29.96,58.3,6.46,127.5,1.66
rice,971.0,31.96,74.2,6.86,56.3,3.425
maize,688.9,21.96,41.6,6.03,139.8,4.64
soybean,521.7,18.84,48.8,6.89,83.4,1.086
sugarcane,599.8,25.37,70.1,7.84,197.6,52.339
wheat,287.4,25.64,74.3,7.3,138.2,1.841
sugarcane,751.1,18.53,74.6,6.43,286.8,46.334
soybean,820.6,23.95,53.2,7.04,243.0,2.584
soybean,487.0,27.4,50.3,6.96,137.8,1.974
soybean,482.5,27.16,57.4,6.91,207.2,2.782
sugarcane,666.5,28.03,68.6,7.39,118.5,59.29
soybean,490.8,26.75,87.3,7.38,152.7,1.8
sugarcane,583.5,21.96,34.3,6.4,121.1,51.005
soybean,1124.9,21.92,61.7,7.01,211.3,2.137
maize,538.2,17.81,45.0,6.19,264.6,2.571
soybean,510.4,35.71,40.2,5.76,213.9,1.647
sugarcane,438.1,25.08,79.5,6.28,223.8,62.689
rice,786.0,23.65,73.2,6.44,223.8,3.957
soybean,554.7,19.43,71.7,5.17,194.1,1.669
rice,437.7,42.61,78.8,7.19,58.9,2.748
maize,930.3,18.56,57.8,4.29,286.1,3.837
wheat,954.9,22.43,58.5,8.67,294.4,1.645
maize,449.9,27.5,97.8,7.7,131.3,3.671
soybean,133.4,28.6,61.3,6.29,120.3,1.29
rice,851.9,30.75,76.0,6.51,199.0,3.863
rice,428.8,35.85,65.1,6.74,194.1,2.854
sugarcane,797.7,28.04,37.3,6.03,133.8,59.794
rice,107.5,18.66,34.3,6.65,50.0,1.427
sugarcane,823.1,23.46,56.3,6.38,174.5,51.508
wheat,297.2,26.85,80.8,6.42,194.1,2.828
soybean,782.7,37.41,76.8,6.65,208.1,0.991
sugarcane,603.6,16.61,78.7,5.45,177.9,23.261
wheat,361.5,32.22,50.2,6.53,128.3,2.085
rice,498.2,26.08,89.2,6.63,229.5,3.189
rice,771.6,30.03,50.5,6.6,155.3,4.218
wheat,626.5,24.39,68.2,6.33,112.8,2.749
rice,746.1,19.95,64.8,7.41,135.5,3.18
wheat,1094.1,29.51,62.4,6.22,10.3,1.462
sugarcane,208.9,28.93,85.1,6.68,135.4,52.794
sugarcane,1004.3,30.83,54.4,7.54,205.1,49.673
wheat,626.1,24.92,44.8,6.44,177.2,2.533
sugarcane,375.3,21.4,65.3,6.67,271.7,43.828
sugarcane,267.4,15.65,59.0,6.42,129.0,32.744
sugarcane,552.7,29.92,100.0,7.49,189.0,33.228
maize,830.4,27.54,75.1,6.29,213.4,5.65
soybean,568.1,19.21,58.9,7.53,337.4,1.104
rice,977.8,21.77,49.2,6.42,161.6,3.492
maize,237.2,22.2,36.8,5.81,66.5,3.442
sugarcane,597.0,16.1,49.6,7.04,217.8,40.099
wheat,286.9,20.09,66.7,6.26,299.3,1.916
sugarcane,690.9,18.2,86.4,7.0,124.2,45.345
soybean,821.7,22.53,81.8,4.32,217.3,1.276
sugarcane,494.8,20.57,68.4,6.5,248.3,50.639
wheat,0.0,15.24,60.2,6.13,231.4,1.793
soybean,649.7,37.14,69.0,5.65,160.0,1.332
sugarcane,709.2,32.52,57.2,6.06,94.1,31.655
soybean,701.1,20.33,90.8,6.04,143.5,2.036
rice,908.9,26.63,62.2,6.46,186.7,4.166
rice,332.2,27.5,63.7,5.41,222.7,3.622
sugarcane,770.1,32.15,31.8,6.75,176.7,53.445
soybean,898.1,20.09,62.1,7.59,119.6,2.031
wheat,155.4,31.55,77.5,6.72,194.4,2.274
sugarcane,679.9,21.71,49.0,7.15,218.8,54.432
rice,474.0,16.98,53.7,7.38,180.4,2.967
rice,579.6,29.34,76.9,7.49,83.1,2.845
sugarcane,686.9,32.74,42.9,8.0,135.5,25.124
soybean,478.2,40.53,80.9,6.1,225.8,1.216
rice,431.1,17.8,57.0,5.93,39.4,2.378
soybean,608.5,29.19,59.2,7.13,0.0,1.293
rice,328.2,22.54,48.1,7.07,270.6,3.125
rice,328.5,29.7,70.7,7.12,190.9,2.444
maize,769.8,16.18,100.0,8.01,198.5,3.391
rice,312.8,17.42,76.7,6.51,63.9,1.46
wheat,766.6,20.34,52.0,6.84,209.0,3.192
sugarcane,715.6,25.47,82.0,5.72,172.0,52.164
sugarcane,168.5,21.15,60.2,8.21,23.3,33.684
soybean,430.6,28.95,85.6,6.23,263.9,1.937
rice,898.5,31.16,77.1,6.25,162.7,3.362
wheat,354.7,28.6,20.9,6.22,118.3,1.313
soybean,483.9,34.71,49.9,5.98,119.8,1.509
maize,715.5,27.49,79.2,5.92,0.0,2.727
soybean,795.8,17.7,67.3,6.08,197.5,1.375
soybean,537.1,33.18,49.6,5.41,170.9,1.097
rice,450.6,21.37,55.5,5.87,134.5,2.83
maize,955.6,30.46,36.4,8.06,252.3,2.604
soybean,1034.7,34.44,63.7,7.09,39.3,1.766
wheat,844.7,27.74,98.2,7.24,102.3,2.894
wheat,621.3,16.02,77.1,7.44,82.0,1.902
sugarcane,397.9,19.49,97.9,7.97,127.7,34.59
maize,392.4,32.94,78.2,5.08,155.4,2.791
maize,730.6,23.99,80.4,5.52,184.4,5.083
sugarcane,704.6,25.48,94.6,5.86,122.2,64.005
soybean,950.4,29.55,70.7,6.12,79.8,1.427
maize,762.6,29.18,62.2,6.26,284.9,3.902
wheat,224.2,26.67,80.5,6.14,342.9,2.992
wheat,863.0,23.75,86.8,6.68,161.5,1.943
rice,350.5,23.12,57.8,6.53,89.5,2.265
maize,504.0,30.15,54.2,5.92,268.0,3.756
soybean,662.6,28.32,67.1,4.76,34.3,0.777
sugarcane,1098.9,23.46,77.5,5.71,123.2,63.1
sugarcane,1377.5,31.49,77.0,6.06,94.3,48.748
soybean,751.7,24.23,43.6,6.3,57.2,1.369
rice,554.2,19.89,93.7,5.6,127.6,3.471
sugarcane,733.6,20.45,55.4,6.11,80.9,55.697
maize,821.9,19.13,61.0,5.6,151.0,3.65
rice,519.8,23.37,51.5,6.4,152.2,3.147
maize,1048.8,32.4,100.0,5.64,100.3,4.743
wheat,657.5,20.17,68.6,5.82,120.4,2.589
rice,724.4,26.13,52.2,5.45,131.5,3.523
sugarcane,766.5,21.06,78.0,6.38,214.8,65.716
rice,705.4,23.44,76.5,5.81,138.1,3.67
rice,809.7,15.94,62.2,7.23,216.0,2.239
rice,445.7,23.68,77.6,6.82,196.9,3.537
rice,460.4,23.84,52.6,6.44,195.7,4.166
maize,325.0,28.24,57.6,5.86,261.0,2.489
wheat,709.9,26.34,34.8,6.8,60.4,1.938
soybean,794.7,17.81,45.1,7.05,112.1,1.87
rice,714.4,31.51,92.1,6.61,291.1,2.62
sugarcane,1018.6,26.26,89.6,7.78,129.4,62.378
rice,598.6,26.19,66.0,6.87,0.0,2.849
sugarcane,767.2,24.94,89.9,7.23,133.8,49.912
maize,327.1,21.89,62.6,6.61,160.8,3.448
sugarcane,503.2,26.31,61.3,7.04,0.0,27.414
soybean,773.9,27.85,65.8,5.86,256.7,3.079
wheat,812.3,14.52,63.1,6.13,92.9,2.518
sugarcane,526.5,21.77,61.8,6.78,176.3,53.047
sugarcane,582.1,23.47,82.2,6.77,131.9,44.588
wheat,220.5,26.54,67.3,6.91,46.9,1.858
soybean,510.7,32.16,75.7,7.38,64.4,1.367
rice,822.6,20.37,80.5,5.36,75.2,1.931
sugarcane,743.8,22.01,70.8,5.72,236.9,57.4
wheat,725.2,21.92,50.4,6.68,138.2,3.122
maize,612.4,20.19,44.7,5.92,108.3,2.164
wheat,601.8,22.92,67.2,9.0,75.2,2.115
maize,434.9,29.62,62.4,6.91,245.7,5.083
soybean,774.7,18.68,66.3,6.44,267.1,1.597
rice,705.2,27.57,64.8,6.09,244.8,5.04
wheat,723.0,14.79,100.0,6.12,189.4,1.384
sugarcane,468.5,21.63,45.0,6.52,173.2,51.427
soybean,61.7,23.02,35.2,6.59,52.7,1.062
wheat,874.3,35.05,70.0,6.13,130.3,1.609
sugarcane,480.3,23.35,59.4,6.28,95.3,41.102
